Policy,IPC,L2_Miss_Rate_%
LRU,0.9944459785507198,31.076416360427594
PLRU,0.9943556530775028,30.99262383152944
SRRIP,1.015563606912812,39.878035634543295
LRU+LIP,1.0244954423424315,38.350117167676075
LRU+BIP,1.0181762308897706,36.40983496492634
