Predictor,IPC,MPKI
Bimodal,0.9068465841473607,2.3344624954425797
GAg,0.9452734439026833,1.7863442997534982
GAp,0.9512999310823252,1.745797351242821
PAp,0.9441523426303388,1.3806560844574653
